Unidentified OOM-series security droid corporal, Classification: Unknown
Unidentified Security Battle Droid, Classification: Unknown
Unidentified acklay, Classification: Acklay
Unidentified B1 battle droid, Classification: Unknown
Unidentified Clone Captain, Classification: Human (clone)
Unidentified Clone Commander, Classification: Human (clone)
Unidentified clone trooper 2, Classification: Human (clone)
Unidentified fin headed Jedi, Classification: Unknown
Unidentified nexu, Classification: Nexu
Unidentified one-eyed Jedi, Classification: Unknown
Unidentified reek, Classification: Reek
Unidentified Advanced Recon Force Scout Trooper officer, Classification: Human (clone)
Unidentified clone lieutenant, Classification: Human (clone)
Unidentified clone paratrooper, Classification: Human (clone)
Unidentified Jedi youngling, Classification: Human
Unidentified Separatist official, Classification: Unknown
Unidentified unit commander, Classification: Human (clone)
Unidentified Death Star gunner, Classification: Unknown
Unidentified Imperial Navy Trooper, Classification: Human
Unidentified sandtrooper captain, Classification: Human
Unidentified stormtrooper, Classification: Human
Unidentified stormtrooper 2, Classification: Human
Unidentified Echo Base deck officer, Classification: Human
Unidentified Imperial officer, Classification: Human
Unidentified rebel, Classification: Human
Unidentified wampa, Classification: Wampa
Unidentified deck gunner, Classification: Human
Unidentified GNK power droid, Classification: Unknown
Unidentified Imperial commander, Classification: Human
Unidentified Scout trooper (Endor 1), Classification: Human
Unidentified Scout trooper (Endor 2), Classification: Human
Unidentified Scout trooper (Endor 3), Classification: Human
Unidentified Scout trooper (Endor 4), Classification: Human
Unidentified female bar patron, Classification: Human
Unidentified female First Order officer, Classification: Human
Unidentified First Order stormtrooper (Starkiller Base), Classification: Human
Unidentified female Jakku villager, Classification: Human
Unidentified First Order officer (Finalizer), Classification: Human
Unidentified First Order officer (Starkiller Base), Classification: Human
Unidentified First Order officer (Starkiller Base) 2, Classification: Human
Unidentified First Order officer (Starkiller Base) 3, Classification: Human
Unidentified male bar patron, Classification: Human
Unidentified male bar patron 2, Classification: Human
Unidentified male First Order officer, Classification: Human
Unidentified male Hosnian, Classification: Human
Unidentified Resistance technician, Classification: Human
Unidentified Anodyne pilot, Classification: Human
Unidentified flight engineer, Classification: Unknown
Unidentified Resistance soldier, Classification: Human
Unidentified tactical officer, Classification: Human
Unidentified transport pilot, Classification: Human
Unidentified blind giant, Classification: Arobernos
Unidentified First Order Stormtrooper (Steadfast), Classification: Human
Unidentified Sith Eternal fleet technician, Classification: Human
Unidentified Tatooine elder, Classification: Human
Unidentified Advanced Recon Force Scout Trooper commander, Classification: Human (clone)
Unidentified Advanced Recon Force Scout Trooper lieutenant, Classification: Human (clone)
Unidentified B1 battle droid captain, Classification: Unknown
Unidentified B1 battle droid sergeant, Classification: Unknown
Unidentified clone naval captain, Classification: Human (clone)
Unidentified clone sergeant, Classification: Human (clone)
Unidentified OOM command battle droid (Teth), Classification: Unknown
Unidentified OOM command battle droid 2, Classification: Unknown
Unidentified OOM command battle droid 3, Classification: Unknown
Unidentified fleet trooper, Classification: Human
Unidentified Human Rebel, Classification: Human
Unidentified male rebel technician, Classification: Human
Unidentified prisoner, Classification: Human
Unidentified Rebel MP, Classification: Human
Unidentified Shield Gate officer, Classification: Human
Unidentified shoretrooper squad leader, Classification: Human
Unidentified Tantive IV copilot, Classification: Unknown
Unidentified patrol trooper, Classification: Unknown
