Unidentified Advanced Recon Force Scout Trooper commander, Classification: Human (clone)
Unidentified Advanced Recon Force Scout Trooper lieutenant, Classification: Human (clone)
Unidentified B1 battle droid captain, Classification: Unknown
Unidentified B1 battle droid sergeant, Classification: Unknown
Unidentified clone naval captain, Classification: Human (clone)
Unidentified clone sergeant, Classification: Human (clone)
Unidentified OOM command battle droid (Teth), Classification: Unknown
Unidentified OOM command battle droid 2, Classification: Unknown
Unidentified OOM command battle droid 3, Classification: Unknown
Unidentified AAT driver battle droid, Classification: Unknown
Unidentified B1 battle droid 1, Classification: Unknown
Unidentified B1 battle droid 2, Classification: Unknown
Unidentified B1 battle droid 3, Classification: Unknown
Unidentified B1 battle droid 4, Classification: Unknown
Unidentified B1 battle droid 5, Classification: Unknown
Unidentified B2 super battle droid, Classification: Unknown
Unidentified clone trooper pilot, Classification: Human (clone)
Unidentified Toydarian royal guard, Classification: Toydarian
Unidentified B1 battle droid 4, Classification: Unknown
Unidentified clone navigation officer, Classification: Human (clone)
Unidentified B1 battle droid 4 (Malevolence), Classification: Unknown
Unidentified clone naval commander, Classification: Human (clone)
Unidentified medical officer clone, Classification: Human (clone)
Unidentified B1 battle droid, Classification: Unknown
Unidentified clone naval commander, Classification: Human (clone)
Unidentified medical officer clone, Classification: Human (clone)
Unidentified OOM command battle droid, Classification: Unknown
Unidentified OOM command battle droid 2, Classification: Unknown
Unidentified medical officer clone, Classification: Human (clone)
Unidentified clone tank pilot, Classification: Human (clone)
Unidentified clone trooper, Classification: Human (clone)
Unidentified IG-86 sentinel droid 1, Classification: Unknown
Unidentified IG-86 sentinel droid 2, Classification: Unknown
Unidentified OOM command battle droid, Classification: Unknown
Unidentified OOM pilot battle droid (Confederate space), Classification: Unknown
Unidentified OOM pilot battle droid (Bothawui), Classification: Unknown
Unidentified B1 battle droid, Classification: Unknown
Unidentified clone trooper pilot, Classification: Human (clone)
Unidentified IG-86 sentinel droid 1, Classification: Unknown
Unidentified IG-86 sentinel droid 2, Classification: Unknown
Unidentified clone trooper, Classification: Human (clone)
Unidentified Clone Captain, Classification: Human (clone)
Unidentified clone naval captain, Classification: Human (clone)
Unidentified clone naval commander, Classification: Human (clone)
Unidentified clone pilot captain, Classification: Human (clone)
Unidentified Green Company trooper, Classification: Human (clone)
Unidentified gundark, Classification: Gundark
Unidentified OOM command battle droid, Classification: Unknown
Unidentified Weequay pirate with goggles, Classification: Weequay
Unidentified Clone Sergeant, Classification: Human (clone)
Unidentified Coruscant Guard, Classification: Human (clone)
Unidentified clone trooper pilot (Quell), Classification: Human (clone)
Unidentified B1-series battle droid, Classification: Unknown
Unidentified T-series tactical droid, Classification: Unknown
Unidentified 2-1B surgical droid (Naboo), Classification: Unknown
Unidentified B1-series battle droid, Classification: Unknown
Unidentified OOM command battle droid 1, Classification: Unknown
Unidentified OOM command battle droid 2, Classification: Unknown
Unidentified Resolute navigation officer, Classification: Human (clone)
Unidentified B1 battle droid, Classification: Unknown
Unidentified B1 battle droid sergeant, Classification: Unknown
Unidentified OOM command battle droid 1 (Ryloth), Classification: Unknown
Unidentified OOM command battle droid 2 (Ryloth), Classification: Unknown
Unidentified BX-series droid commando 1, Classification: Unknown
Unidentified BX-series droid commando 2, Classification: Unknown
Unidentified Christophsian senator, Classification: Christophsian
Unidentified IG-86 sentinel droid, Classification: Unknown
Unidentified B1 battle droid (Cad Bane's frigate), Classification: Unknown
Unidentified clone trooper (Devaron), Classification: Human (clone)
Unidentified OOM command battle droid (Devaron), Classification: Unknown
Unidentified Sith nanny droid, Classification: Unknown
Unidentified Christophsian senator, Classification: Christophsian
Unidentified Neimoidian (drapery painting), Classification: Neimoidian
Unidentified Neimoidian (golden painting), Classification: Neimoidian
Unidentified Neimoidian (Kaadu painting), Classification: Neimoidian
Unidentified acklay, Classification: Acklay
Unidentified clone trooper pilot (Geonosis), Classification: Human (clone)
Unidentified nexu, Classification: Nexu
Unidentified reek, Classification: Reek
Unidentified Geonosian spy, Classification: Geonosian
Unidentified B1 battle droid 1 (Geonosis), Classification: Unknown
Unidentified BX-series droid commando 1, Classification: Unknown
Unidentified BX-series droid commando 2, Classification: Unknown
Unidentified Christophsian senator, Classification: Christophsian
Unidentified Christophsian senator, Classification: Christophsian
Unidentified Death Watch saboteur, Classification: Unknown
Unidentified assassin probe 1, Classification: Unknown
Unidentified Death Watch assassin, Classification: Unknown
Unidentified New Mandalorian scout, Classification: Human
Unidentified stealth clone pilot, Classification: Human (clone)
Unidentified pirate scout, Classification: Weequay
Unidentified Weequay pirate, Classification: Weequay
Unidentified clone trooper pilot (Malastare), Classification: Human (clone)
Unidentified Zillo Beast, Classification: Zillo beast
Unidentified Senate Commando, Classification: Unknown
Unidentified Zillo Beast, Classification: Zillo beast
Unidentified clone trooper, Classification: Human (clone)
Unidentified clone navigation officer, Classification: Human (clone)
Unidentified clone trooper, Classification: Human (clone)
Unidentified Bith musician, Classification: Bith
Unidentified clone navigation officer, Classification: Human (clone)
Unidentified human singer, Classification: Human
Unidentified Ithorian (Moshi Bar), Classification: Ithorian
Unidentified Patrolian (Moshi Bar), Classification: Patrolian
Unidentified Quarren (Moshi Bar), Classification: Quarren
Unidentified Rodian (Moshi Bar), Classification: Rodian
Unidentified Twi'lek (Moshi Bar), Classification: Twi'lek
Unidentified Weequay pirate (Moshi Bar), Classification: Weequay
Unidentified clone cadet, Classification: Human (clone)
Unidentified clone cadet 2, Classification: Human (clone)
Unidentified clone cadet 3, Classification: Human (clone)
Unidentified clone navigation officer, Classification: Human (clone)
Unidentified clone trooper, Classification: Human (clone)
Unidentified Neimoidian aide, Classification: Neimoidian
Unidentified OOM command battle droid (Ryloth), Classification: Unknown
Unidentified Toydarian defense minister, Classification: Toydarian
Unidentified Toydarian minister, Classification: Toydarian
Unidentified Toydarian minister 2, Classification: Toydarian
Unidentified Toydarian royal guard (Bail Organa), Classification: Toydarian
Unidentified Gotal bounty hunter, Classification: Gotal
Unidentified Neimoidian envoy, Classification: Neimoidian
Unidentified Neimoidian guard, Classification: Neimoidian
Unidentified Nimbanel bartender, Classification: Nimbanel
Unidentified Mandalorian customs official, Classification: Human (mandalorian)
Unidentified New Mandalorian Minister of Finance, Classification: Human
Unidentified Sundari school superintendent, Classification: Human
Unidentified Mandalorian customs official, Classification: Human (mandalorian)
Unidentified Sundari school superintendent, Classification: Human
Unidentified 2-1B-series medical droid, Classification: Unknown
Unidentified clone navigation officer, Classification: Human (clone)
Unidentified Nikto criminal, Classification: Kajain'sa'nikto
Unidentified RA-7 protocol droid, Classification: Unknown
Unidentified chorus girl, Classification: Twi'lek
Unidentified Christophsian senator, Classification: Christophsian
Unidentified Christophsian senator, Classification: Christophsian
Unidentified Bith musician, Classification: Bith
Unidentified human singer, Classification: Human
Unidentified Nikto senator, Classification: Nikto (kajain'sa'nikto)
Unidentified B1 battle droid (R2-D2), Classification: Unknown
Unidentified B1 battle droid 2 (R2-D2), Classification: Unknown
