Alpha Trawler, Classification: Human
The Armorer, Classification: Human
Beta Trawler, Classification: Human
Chussido, Classification: Rodian
The Client, Classification: Human
Din Djarin, Classification: Human
Din Djarin's father, Classification: Human
Din Djarin's mother, Classification: Human
Grogu, Classification: Yoda's species
Greef Karga, Classification: Human
Kuiil, Classification: Ugnaught
The Mythrol, Classification: Mythrol
Penn Pershing, Classification: Human
Quarren Trawler, Classification: Quarren
